Discipline;event;event_gender
3x3 Basketball;Men;Male
3x3 Basketball;Women;Female
Archery;Men Individual;Male
Archery;Women Individual;Female
Archery;Mixed Team;Mixed
Archery;Men Team;Male
Archery;Women Team;Female
Archery;Compound Mixed Team;Mixed
Artistic Gymnastics;Men Team;Male
Artistic Gymnastics;Men All Around;Male
Artistic Gymnastics;Men Floor Exercise;Male
Artistic Gymnastics;Men Pommel Horse;Male
Artistic Gymnastics;Men Rings;Male
Artistic Gymnastics;Men Vault;Male
Artistic Gymnastics;Men Parallel Bars;Male
Artistic Gymnastics;Men Horizontal Bar;Male
Artistic Gymnastics;Women Team;Female
Artistic Gymnastics;Women All Around;Female
Artistic Gymnastics;Women Vault;Female
Artistic Gymnastics;Women Uneven Bars;Female
Artistic Gymnastics;Women Balance Beam;Female
Artistic Gymnastics;Women Floor Exercise;Female
Artistic Gymnastics;Mixed Team;Mixed
Artistic Swimming;Team;Female
Artistic Swimming;Duet;Female
Athletics;Men 100M;Male
Athletics;Men 200M;Male
Athletics;Men 400M;Male
Athletics;Men 800M;Male
Athletics;Men 1500M;Male
Athletics;Men 5000M;Male
Athletics;Men 10,000M;Male
Athletics;Women 100M;Female
Athletics;Women 200M;Female
Athletics;Women 400M;Female
Athletics;Women 800M;Female
Athletics;Women 1500M;Female
Athletics;Women 5000M;Female
Athletics;Women 10,000M;Female
Athletics;Men 110M Hurdles;Male
Athletics;Women 100M Hurdles;Female
Athletics;Men 400M Hurdles;Male
Athletics;Women 400M Hurdles;Female
Athletics;Men 3000M Steeplechase;Male
Athletics;Women 3000M Steeplechase;Female
Athletics;Men 4X400M Relay;Male
Athletics;Women 4X400M Relay;Female
Athletics;Men 4X100M Relay;Male
Athletics;Women 4X100M Relay;Female
Athletics;Men High Jump;Male
Athletics;Women High Jump;Female
Athletics;Women Pole Vault;Female
Athletics;Men Pole Vault;Male
Athletics;Men Long Jump;Male
Athletics;Women Long Jump;Female
Athletics;Men Triple Jump;Male
Athletics;Women Triple Jump;Female
Athletics;Men Shot Put;Male
Athletics;Women Shot Put;Female
Athletics;Men Discus Throw;Male
Athletics;Women Discus Throw;Female
Athletics;Men Hammer Throw;Male
Athletics;Women Hammer Throw;Female
Athletics;Women Javelin Throw;Female
Athletics;Men Javelin Throw;Male
Athletics;Women Heptathlon;Female
Athletics;Men Decathlon;Male
Athletics;Women 20Km Race Walk;Female
Athletics;Men 20Km Race Walk;Male
Athletics;Women Marathon;Female
Athletics;Men Marathon;Male
Athletics;Mixed 4 X 100M Relay;Mixed
Athletics;Mixed 4 X 400M Relay;Mixed
Badminton;Men Doubles;Male
Badminton;Men Singles;Male
Badminton;Mixed Doubles;Mixed
Badminton;Women Doubles;Female
Badminton;Women Singles;Female
Baseball;Men Baseball;Male
Basketball;Men Basketball;Male
Basketball;Women Basketball;Female
Beach Volleyball;Men Beach Volleyball;Male
Beach Volleyball;Women Beach Volleyball;Female
Cycling BMX Freestyle;Men Park;Male
Cycling BMX Freestyle;Women Park;Female
Cycling BMX Racing;Men;Male
Cycling BMX Racing;Women;Female
Boxing;Men 55Kg;Male
Boxing;Men 60Kg;Male
Boxing;Men 65Kg;Male
Boxing;Men 70Kg;Male
Boxing;Men 80Kg;Male
Boxing;Men 90Kg;Male
Boxing;Men +90Kg;Male
Boxing;Women 51Kg;Female
Boxing;Women 54Kg;Female
Boxing;Women 57Kg;Female
Boxing;Women 60Kg;Female
Boxing;Women 65Kg;Female
Boxing;Women 70Kg;Female
Boxing;Women 75Kg;Female
Canoe Slalom;Men Canoe Single;Male
Canoe Slalom;Men Kayak;Male
Canoe Slalom;Men Kayak Cross;Male
Canoe Slalom;Women Canoe Single;Female
Canoe Slalom;Women Kayak;Female
Canoe Slalom;Women Kayak Cross;Female
Canoe Sprint;Men Kayak Single 1000M;Male
Canoe Sprint;Men Kayak Double 500M;Male
Canoe Sprint;Men Kayak Four 500M;Male
Canoe Sprint;Men Canoe Single 1000M;Male
Canoe Sprint;Men Canoe Double 500M;Male
Canoe Sprint;Women Kayak Single 500M;Female
Canoe Sprint;Women Kayak Double 500M;Female
Canoe Sprint;Women Kayak Four 500M;Female
Canoe Sprint;Women Canoe Single 200M;Female
Canoe Sprint;Women Canoe Double 500M;Female
Sport Climbing;Men Boulder & Lead;Male
Sport Climbing;Men Combined;Male
Sport Climbing;Men Speed;Male
Sport Climbing;Women Boulder & Lead;Female
Sport Climbing;Women Combined;Female
Sport Climbing;Women Speed;Female
Cricket;Men Cricket;Male
Cricket;Women Cricket;Female
Cycling Road;Men Individual Time Trial;Male
Cycling Road;Men Road Race;Male
Cycling Road;Women Individual Time Trial;Female
Cycling Road;Women Road Race;Female
Cycling Track;Men Sprint;Male
