iso3;year;gdp_per_capita_usd
ABW;1986;6767.56
ABW;1987;8244.05
ABW;1988;10056.26
ABW;1989;11507.22
ABW;1990;12187.54
ABW;1991;13233.99
ABW;1992;13892.61
ABW;1993;14700.96
ABW;1994;16055.29
ABW;1995;16548.72
ABW;1996;16620.95
ABW;1997;17750.01
ABW;1998;18828.09
ABW;1999;19216.2
ABW;2000;20681.02
ABW;2001;20740.13
ABW;2002;21307.25
ABW;2003;21949.49
ABW;2004;23700.63
ABW;2005;24171.84
ABW;2006;24845.66
ABW;2007;26736.31
ABW;2008;28171.91
ABW;2009;25134.77
ABW;2010;24093.14
ABW;2011;25712.38
ABW;2012;25119.67
ABW;2013;25813.57
ABW;2014;26129.84
ABW;2015;27458.22
ABW;2016;27441.55
ABW;2017;28440.04
ABW;2018;30082.16
ABW;2019;30654.49
ABW;2020;22664.37
ABW;2021;26827.34
ABW;2022;31000.57
ABW;2023;34897.62
ABW;2024;38590.57
AFE;1960;186.09
AFE;1961;186.91
AFE;1962;197.37
AFE;1963;225.4
AFE;1964;208.96
AFE;1965;226.84
AFE;1966;240.91
AFE;1967;243.77
AFE;1968;257.14
AFE;1969;281.58
AFE;1970;276.73
AFE;1971;294.81
AFE;1972;311.47
AFE;1973;389.73
AFE;1974;463.47
AFE;1975;479.08
AFE;1976;468.78
AFE;1977;518.36
AFE;1978;571.62
AFE;1979;634.45
AFE;1980;773.3
AFE;1981;777.63
AFE;1982;725.55
AFE;1983;732.35
AFE;1984;650.35
AFE;1985;554.22
AFE;1986;578.32
AFE;1987;664.79
AFE;1988;704.14
AFE;1989;728.24
AFE;1990;822.4
AFE;1991;864.18
AFE;1992;732.91
AFE;1993;709.32
AFE;1994;700.77
AFE;1995;766.52
AFE;1996;746.79
AFE;1997;767.4
AFE;1998;697.08
AFE;1999;670.43
AFE;2000;706.73
AFE;2001;625.83
AFE;2002;630.51
AFE;2003;815.43
AFE;2004;989.02
AFE;2005;1126.3
AFE;2006;1235.17
AFE;2007;1381.45
AFE;2008;1447.43
AFE;2009;1408.62
AFE;2010;1628.77
AFE;2011;1761.84
AFE;2012;1731.87
AFE;2013;1705.84
AFE;2014;1689.98
AFE;2015;1498.72
AFE;2016;1335.74
AFE;2017;1529.92
AFE;2018;1553.62
AFE;2019;1508.03
AFE;2020;1351.5
AFE;2021;1560.89
AFE;2022;1675.9
AFE;2023;1571.13
AFE;2024;1628.23
AFG;2000;174.93
AFG;2001;138.71
AFG;2002;178.95
AFG;2003;198.87
AFG;2004;221.76
AFG;2005;254.18
AFG;2006;274.22
AFG;2007;376.22
AFG;2008;381.73
AFG;2009;452.05
AFG;2010;560.62
AFG;2011;606.69
AFG;2012;651.42
AFG;2013;637.09
AFG;2014;625.05
AFG;2015;565.57
AFG;2016;522.08
AFG;2017;525.47
AFG;2018;491.34
AFG;2019;496.6
AFG;2020;510.79
AFG;2021;356.5
AFG;2022;357.26
AFG;2023;413.76
AFG;2024;416.87
AFW;1960;121.94
AFW;1961;127.45
AFW;1962;133.82
AFW;1963;139.0
AFW;1964;148.55
AFW;1965;155.59
AFW;1966;162.17
AFW;1967;145.05
AFW;1968;146.35
AFW;1969;162.08
AFW;1970;218.84
AFW;1971;196.01
AFW;1972;230.25
AFW;1973;280.87
AFW;1974;368.59
AFW;1975;413.7
AFW;1976;480.83
AFW;1977;491.24
AFW;1978;524.21
AFW;1979;625.38
AFW;1980;763.63
AFW;1981;1329.88
AFW;1982;1165.25
AFW;1983;874.94
AFW;1984;739.49
AFW;1985;755.93
AFW;1986;583.67
AFW;1987;584.1
AFW;1988;563.88
AFW;1989;513.17
AFW;1990;593.83
AFW;1991;608.67
AFW;1992;567.93
AFW;1993;575.28
AFW;1994;580.8
AFW;1995;867.82
AFW;1996;1070.84
AFW;1997;1093.07
AFW;1998;1142.84
AFW;1999;524.45
AFW;2000;519.64
AFW;2001;533.68
AFW;2002;620.16
AFW;2003;698.41
AFW;2004;839.35
AFW;2005;1001.13
AFW;2006;1236.32
AFW;2007;1407.73
AFW;2008;1668.62
AFW;2009;1455.22
AFW;2010;1664.49
AFW;2011;1846.1
AFW;2012;1943.37
AFW;2013;2134.25
AFW;2014;2224.33
AFW;2015;1863.4
