Year,City,latitude,longitude
1896,Athens,37.9838,23.7275
1900,Paris,48.8566,2.3522
1904,St Louis,38.627,-90.1994
1908,London,51.5074,-0.1278
1912,Stockholm,59.3293,18.0686
1916,Berlin,52.52437,13.41053
1920,Antwerp,51.21989,4.40346
1924,Chamonix,45.5523,6.5211
1924,Paris,48.8566,2.3522
1928,Amsterdam,52.37403,4.88969
1928,St. Moritz,46.295,9.5016
1932,Los Angeles,34.0522,-118.2437
1932,Lake Placid,44.1708,-73.5907
1936,Garmisch Partenkirchen,47.3,11.5
1936,Berlin,52.52437,13.41053
1948,St Moritz,46.295,9.5016
1948,London,51.5074,-0.1278
1952,Oslo,59.5448,10.442
1952,Helsinki,60.16952,24.93545
1956,Cortina D Ampezzo,46.3225,12.081
1956,Stockholm,59.3293,18.0686
1956,Melbourne,-37.814,144.96332
1960,Squaw Valley,39.1147,-120.1401
1960,Rome,41.9028,12.4964
1964,Innsbruck,47.1606,11.2336
1964,Tokyo,35.6895,139.69171
1968,Grenoble,45.1018,5.4321
1968,Mexico City,19.42847,-99.12766
1972,Sapporo,43.0343,141.2116
1972,Munich,48.13743,11.57549
1976,Innsbruck,47.1606,11.2336
1976,Montreal,45.50884,-73.58781
1980,Lake Placid,44.1708,-73.5907
1980,Moscow,55.75222,37.61556
1984,Sarajevo,43.5123,18.2447
1984,Los Angeles,34.05223,-118.24368
1988,Calgary,51.3,-114.4
1988,Seoul,37.566,126.9784
1992,Albertville,45.4036,6.2336
1992,Barcelona,41.38879,2.15899
1994,Lillehammer,61.7,10.28
1996,Atlanta,33.749,-84.38798
1998,Nagano,36.3855,138.1141
2000,Sydney,-33.86785,151.20732
2002,Salt Lake City,40.4539,-111.5328
2004,Athens,37.9838,23.7275
2006,Torino,45.0445,7.4034
2008,Beijing,39.9075,116.39723
2010,Vancouver,49.1539,-123.065
2012,London,51.5074,-0.1278
2014,Sochi,43.3507,39.4313
2016,Rio,-22.90278,-43.2075
2018,Pyeongchang,37.22,128.24
2020,Tokyo,35.652832,139.839478
2022,Beijing,39.9075,116.39723
